,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
7141.42747.8194,6,2,2,84,53,25,21,18,105,306, $1.53 , $0.15 , $0.77 , $2.43 , $0.24 , $0.08 , $5.20 , $5.00 ,5,-13,32,17,41,,,,,,,,,,,
7141.42747.8208,3,2,2,87,48,12,70,15,132,364, $1.82 , $0.15 , $0.78 , $1.53 , $0.19 , $0.08 , $4.55 , $5.00 ,8,-28,35,25,40,,,,,,,,,,,
7141.42747.8229,5,2,2,99,19,11,66,13,116,324, $1.62 , $0.15 , $0.57 , $2.18 , $0.26 , $0.08 , $4.86 , $5.00 ,2,16,41,38,97,,,,,,,,,,,
7141.42747.8243,2,2,1,86,39,17,48,17,207,414, $1.04 , $0.15 , $0.55 , $1.27 , $0.30 , $0.08 , $3.39 , $5.00 ,7,-9,35,40,73,,,,,,,,,,,
7141.42747.8257,5,1,3,47,18,8,59,16,112,260, $1.95 , $0.10 , $0.30 , $0.97 , $0.05 , $0.05 , $3.42 , $4.75 ,8,-9,32,31,62,,,,,,,,,,,
7141.42747.8278,1,1,3,59,29,10,59,15,130,302, $2.27 , $0.10 , $0.28 , $0.61 , $0.06 , $0.05 , $3.37 , $3.75 ,5,-9,27,24,47,,,,,,,,,,,
7141.42747.8285,1,1,2,77,33,10,38,15,129,302, $1.51 , $0.10 , $0.24 , $0.61 , $0.04 , $0.05 , $2.55 , $3.75 ,9,-28,11,12,4,,,,,,,,,,,
7141.42747.8292,1,1,2,61,36,12,31,13,118,271, $1.36 , $0.10 , $0.44 , $0.57 , $0.10 , $0.05 , $2.62 , $3.75 ,5,0,33,28,66,,,,,,,,,,,
7141.42747.8306,6,2,2,85,37,22,44,11,118,317, $1.59 , $0.15 , $0.82 , $2.42 , $0.18 , $0.08 , $5.24 , $5.00 ,7,-25,51,32,65,,,,,,,,,,,
7141.42747.8306,2,2,1,95,49,18,61,20,172,415, $1.04 , $0.15 , $0.66 , $1.31 , $0.24 , $0.08 , $3.48 , $5.00 ,7,-34,32,31,36,,,,,,,,,,,
7141.42747.8313,5,2,2,97,46,9,75,15,117,359, $1.80 , $0.15 , $0.56 , $1.95 , $0.31 , $0.08 , $4.85 , $5.00 ,9,1,32,39,81,,,,,,,,,,,
7141.42747.8354,1,2,2,94,35,19,72,15,105,340, $1.70 , $0.15 , $0.62 , $1.24 , $0.25 , $0.08 , $4.04 , $5.00 ,9,-19,23,21,34,,,,,,,,,,,
7141.42747.8361,6,2,2,86,27,22,33,14,125,307, $1.54 , $0.15 , $0.79 , $2.40 , $0.15 , $0.08 , $5.11 , $5.00 ,7,-21,33,35,54,,,,,,,,,,,
7141.42747.8368,3,1,2,77,48,11,48,15,115,314, $1.57 , $0.10 , $0.41 , $0.67 , $0.18 , $0.05 , $2.98 , $4.25 ,6,-3,23,14,40,,,,,,,,,,,
7141.42747.8368,7,2,2,91,31,30,91,14,125,382, $1.91 , $0.15 , $0.45 , $1.81 , $0.18 , $0.08 , $4.58 , $5.00 ,6,-25,40,38,59,,,,,,,,,,,
7141.42747.8375,7,1,2,69,23,13,45,13,127,290, $1.45 , $0.10 , $0.20 , $0.78 , $0.12 , $0.05 , $2.70 , $4.75 ,7,-22,27,41,53,,,,,,,,,,,
7141.42747.8382,2,2,2,92,42,14,65,14,123,350, $1.75 , $0.15 , $0.60 , $1.23 , $0.26 , $0.08 , $4.07 , $5.00 ,7,-4,34,36,73,,,,,,,,,,,
7141.42747.8389,2,2,2,128,39,18,78,12,130,405, $2.03 , $0.15 , $0.59 , $1.33 , $0.15 , $0.08 , $4.33 , $5.00 ,6,-11,15,21,31,,,,,,,,,,,
7141.42747.8410,6,2,1,100,49,23,40,21,216,449, $1.12 , $0.15 , $0.72 , $2.35 , $0.18 , $0.08 , $4.60 , $5.00 ,6,-9,25,9,31,,,,,,,,,,,
7141.42747.8431,6,2,2,61,44,25,35,16,101,282, $1.41 , $0.15 , $0.76 , $2.43 , $0.22 , $0.08 , $5.05 , $5.00 ,4,-11,48,39,80,,,,,,,,,,,
7141.42747.8431,6,1,2,82,49,16,41,17,142,347, $1.74 , $0.10 , $0.39 , $1.32 , $0.21 , $0.05 , $3.81 , $4.75 ,7,0,22,33,62,,,,,,,,,,,
7141.42747.8438,1,2,1,94,35,12,52,19,183,395, $0.99 , $0.15 , $0.61 , $1.20 , $0.26 , $0.08 , $3.29 , $5.00 ,6,-27,38,30,47,,,,,,,,,,,
7141.42747.8438,6,2,2,77,40,24,53,16,137,347, $1.74 , $0.15 , $0.74 , $2.26 , $0.24 , $0.08 , $5.21 , $5.00 ,9,-1,46,27,81,,,,,,,,,,,
7141.42747.8458,3,1,2,85,44,11,53,13,128,334, $1.67 , $0.10 , $0.38 , $0.70 , $0.12 , $0.05 , $3.02 , $4.25 ,7,-6,17,14,32,,,,,,,,,,,
7141.42747.8458,5,1,1,76,31,6,36,25,178,352, $0.88 , $0.10 , $0.25 , $1.01 , $0.15 , $0.05 , $2.44 , $4.75 ,8,-15,24,40,57,,,,,,,,,,,
7141.42747.8486,7,2,2,101,35,26,63,14,119,358, $1.79 , $0.15 , $0.41 , $1.72 , $0.22 , $0.08 , $4.37 , $5.00 ,7,-11,42,35,73,,,,,,,,,,,
7141.42747.8486,5,2,2,71,27,10,45,15,131,299, $1.50 , $0.15 , $0.70 , $2.00 , $0.19 , $0.08 , $4.62 , $5.00 ,7,-28,26,11,16,,,,,,,,,,,
7141.42747.8500,7,1,2,87,22,18,43,12,126,308, $1.54 , $0.10 , $0.16 , $0.84 , $0.11 , $0.05 , $2.80 , $4.75 ,2,-22,15,41,36,,,,,,,,,,,
7141.42747.8535,1,2,2,77,47,17,47,16,111,315, $1.58 , $0.15 , $0.65 , $1.23 , $0.21 , $0.08 , $3.90 , $5.00 ,5,-12,21,20,34,,,,,,,,,,,
7141.42747.8563,4,2,2,168,36,33,45,13,130,425, $2.13 , $0.15 , $0.52 , $1.15 , $0.15 , $0.08 , $4.18 , $5.00 ,4,-12,20,38,50,,,,,,,,,,,
7141.42747.8576,2,1,2,80,51,16,52,14,116,329, $1.65 , $0.10 , $0.34 , $0.55 , $0.21 , $0.05 , $2.90 , $3.75 ,6,-5,14,35,50,,,,,,,,,,,
7141.42747.8590,7,2,2,92,33,26,41,11,117,320, $1.60 , $0.15 , $0.38 , $1.75 , $0.16 , $0.08 , $4.12 , $5.00 ,8,-25,41,27,51,,,,,,,,,,,
7141.42747.8597,1,1,3,52,33,12,54,10,139,300, $2.25 , $0.10 , $0.26 , $0.61 , $0.09 , $0.05 , $3.36 , $3.75 ,3,-11,29,35,56,,,,,,,,,,,
7141.42747.8597,1,1,1,70,32,11,64,22,193,392, $0.98 , $0.10 , $0.41 , $0.60 , $0.05 , $0.05 , $2.19 , $3.75 ,4,-40,29,31,24,,,,,,,,,,,
7141.42747.8611,5,1,2,90,28,4,39,16,120,297, $1.49 , $0.10 , $0.34 , $1.01 , $(0.01), $0.05 , $2.98 , $4.75 ,6,6,19,32,63,,,,,,,,,,,
7141.42747.8618,3,1,2,75,28,10,32,13,136,294, $1.47 , $0.10 , $0.29 , $0.72 , $0.08 , $0.05 , $2.71 , $4.25 ,8,-18,24,33,47,,,,,,,,,,,
7141.42747.8639,5,2,2,93,31,13,68,16,112,333, $1.67 , $0.15 , $0.62 , $2.04 , $0.18 , $0.08 , $4.74 , $5.00 ,6,-13,31,22,46,,,,,,,,,,,
7141.42747.8667,1,1,2,93,36,11,52,16,145,353, $1.77 , $0.10 , $0.30 , $0.59 , $0.14 , $0.05 , $2.95 , $3.75 ,7,-21,25,22,33,,,,,,,,,,,
7141.42747.8667,5,2,2,90,33,13,52,16,116,320, $1.60 , $0.15 , $0.51 , $2.16 , $0.20 , $0.08 , $4.70 , $5.00 ,6,4,35,9,54,,,,,,,,,,,
7141.42747.8688,7,2,2,90,28,21,79,16,125,359, $1.80 , $0.15 , $0.42 , $1.86 , $0.23 , $0.08 , $4.54 , $5.00 ,6,-20,37,30,53,,,,,,,,,,,
7141.42747.8688,5,1,1,71,34,7,41,25,205,383, $0.96 , $0.10 , $0.27 , $0.97 , $0.10 , $0.05 , $2.45 , $4.75 ,7,-27,24,41,45,,,,,,,,,,,
7141.42747.8688,6,1,2,66,42,18,57,12,103,298, $1.49 , $0.10 , $0.46 , $1.19 , $0.13 , $0.05 , $3.42 , $4.75 ,9,-5,34,24,62,,,,,,,,,,,
7141.42747.8708,3,2,2,98,34,14,83,17,115,361, $1.81 , $0.15 , $0.70 , $1.54 , $0.23 , $0.08 , $4.51 , $5.00 ,7,4,32,35,78,,,,,,,,,,,
7141.42747.8715,6,1,1,72,46,17,39,23,178,375, $0.94 , $0.10 , $0.40 , $1.23 , $0.07 , $0.05 , $2.79 , $4.75 ,5,-32,18,33,24,,,,,,,,,,,
7141.42747.8729,6,1,2,80,25,17,23,13,120,278, $1.39 , $0.10 , $0.38 , $1.21 , $0.07 , $0.05 , $3.20 , $4.75 ,6,-26,34,22,36,,,,,,,,,,,
7141.42747.8743,5,1,1,82,29,10,31,22,188,362, $0.91 , $0.10 , $0.29 , $0.97 , $0.15 , $0.05 , $2.47 , $4.75 ,7,-36,33,19,23,,,,,,,,,,,
7141.42747.8743,3,1,3,60,19,12,52,13,117,273, $2.05 , $0.10 , $0.41 , $0.68 , $0.19 , $0.05 , $3.48 , $4.25 ,4,-10,22,32,48,,,,,,,,,,,
7141.42747.8757,1,2,1,39,46,14,41,22,71,233, $0.58 , $0.15 , $0.37 , $0.62 , $0.24 , $0.08 , $2.04 , $5.00 ,5,9,31,28,73,,,,,,,,,,,
7141.42747.8785,7,2,1,38,37,34,98,21,56,284, $0.71 , $0.15 , $0.21 , $0.93 , $0.23 , $0.08 , $2.31 , $5.00 ,8,14,17,27,66,,,,,,,,,,,
7141.42747.8792,7,1,1,53,26,14,53,19,41,206, $0.52 , $0.10 , $0.06 , $0.38 , $0.13 , $0.05 , $1.24 , $4.75 ,9,18,15,22,64,,,,,,,,,,,
7141.42747.8792,3,1,1,35,35,7,58,17,37,189, $0.47 , $0.10 , $0.07 , $0.39 , $0.11 , $0.05 , $1.19 , $4.25 ,5,10,21,35,71,,,,,,,,,,,
7141.42747.8806,5,2,1,56,43,8,52,24,51,234, $0.59 , $0.15 , $0.25 , $1.15 , $0.28 , $0.08 , $2.50 , $5.00 ,5,19,33,29,86,,,,,,,,,,,
7141.42747.8882,6,1,2,46,30,15,31,14,18,154, $0.77 , $0.10 , $0.20 , $0.63 , $0.17 , $0.05 , $1.92 , $4.75 ,6,24,16,25,71,,,,,,,,,,,
7141.42747.9021,5,2,2,50,41,7,49,17,37,201, $1.01 , $0.15 , $0.28 , $1.00 , $0.14 , $0.08 , $2.66 , $5.00 ,10,4,21,28,63,,,,,,,,,,,
7141.42748.4563,2,2,1,33,31,19,66,26,46,221, $0.55 , $0.15 , $0.32 , $0.58 , $0.18 , $0.16 , $1.94 , $5.00 ,9,15,24,37,85,,,,,,,,,,,
7141.42748.4611,1,2,2,32,52,15,62,17,14,192, $0.96 , $0.15 , $0.41 , $0.64 , $0.18 , $0.08 , $2.42 , $5.00 ,7,13,31,36,87,,,,,,,,,,,
7141.42748.4646,5,2,1,35,30,12,54,26,56,213, $0.53 , $0.15 , $0.42 , $1.47 , $0.21 , $0.08 , $2.86 , $5.00 ,8,2,23,38,71,,,,,,,,,,,
7141.42748.4674,2,1,2,33,34,11,65,12,12,167, $0.84 , $0.10 , $0.08 , $0.45 , $0.21 , $0.05 , $1.73 , $3.75 ,8,17,25,3,53,,,,,,,,,,,
7141.42748.4701,7,2,2,49,29,30,52,15,30,205, $1.03 , $0.15 , $0.23 , $1.01 , $0.07 , $0.08 , $2.57 , $5.00 ,7,6,25,10,48,,,,,,,,,,,
7141.42748.4701,1,1,1,40,38,10,47,22,8,165, $0.41 , $0.10 , $0.21 , $0.28 , $0.09 , $0.05 , $1.14 , $3.75 ,7,8,23,29,67,,,,,,,,,,,
7141.42748.4743,7,1,2,51,25,13,36,12,20,157, $0.79 , $0.10 , $0.16 , $0.57 , $0.09 , $0.05 , $1.76 , $4.75 ,7,12,23,30,72,,,,,,,,,,,
7141.42748.4806,1,1,1,18,31,7,46,21,36,159, $0.40 , $0.10 , $0.18 , $0.36 , $0.07 , $0.05 , $1.16 , $3.75 ,7,9,17,6,39,,,,,,,,,,,
7141.42748.4819,6,2,1,42,38,24,43,25,93,265, $0.66 , $0.15 , $0.35 , $1.51 , $0.22 , $0.08 , $2.97 , $5.00 ,9,-10,27,32,58,,,,,,,,,,,
7141.42748.4840,5,1,1,45,28,5,65,19,85,247, $0.62 , $0.10 , $0.25 , $0.48 , $0.09 , $0.05 , $1.59 , $4.75 ,4,6,23,37,70,,,,,,,,,,,
7141.42748.4868,4,2,1,104,39,28,39,23,48,281, $0.70 , $0.15 , $0.25 , $0.63 , $0.17 , $0.08 , $1.98 , $5.00 ,8,7,21,30,66,,,,,,,,,,,
7141.42748.4882,1,1,1,40,26,13,58,18,75,230, $0.58 , $0.10 , $0.20 , $0.45 , $0.14 , $0.10 , $1.57 , $3.75 ,7,-17,15,16,21,,,,,,,,,,,
7141.42748.4965,1,2,3,27,31,13,46,17,46,180, $1.35 , $0.15 , $0.43 , $0.79 , $0.16 , $0.08 , $2.96 , $5.00 ,8,13,21,25,67,,,,,,,,,,,
7141.42748.5000,5,2,1,44,35,12,55,17,30,193, $0.48 , $0.15 , $0.40 , $1.41 , $0.16 , $0.08 , $2.68 , $5.00 ,2,13,7,38,60,,,,,,,,,,,
7141.42748.5063,6,1,1,51,41,15,52,25,25,209, $0.52 , $0.10 , $0.25 , $0.82 , $0.19 , $0.05 , $1.93 , $4.75 ,6,8,13,26,53,,,,,,,,,,,
7141.42748.5083,5,1,2,52,25,9,71,15,35,207, $1.04 , $0.20 , $0.29 , $0.67 , $0.10 , $0.05 , $2.35 , $4.75 ,9,3,30,34,76,,,,,,,,,,,
7141.42748.5097,2,2,1,25,44,17,99,24,44,253, $0.63 , $0.15 , $0.43 , $0.85 , $0.28 , $0.08 , $2.42 , $5.00 ,8,-2,33,19,58,,,,,,,,,,,
7141.42748.5243,6,1,1,50,41,15,62,23,47,238, $0.60 , $0.10 , $0.26 , $0.84 , $0.06 , $0.05 , $1.91 , $4.75 ,8,3,13,19,43,,,,,,,,,,,
7141.42748.5326,7,2,3,38,15,33,75,13,11,185, $1.39 , $0.15 , $0.27 , $1.06 , $0.19 , $0.08 , $3.14 , $5.00 ,7,9,31,25,72,,,,,,,,,,,
7141.42748.5354,2,2,2,72,41,19,41,14,44,231, $1.16 , $0.30 , $0.38 , $0.92 , $0.21 , $0.16 , $3.13 , $5.00 ,8,-1,23,27,57,,,,,,,,,,,
7141.42748.5368,3,2,1,42,63,16,49,23,46,239, $0.60 , $0.15 , $0.39 , $0.90 , $0.18 , $0.08 , $2.30 , $5.00 ,4,5,30,21,60,,,,,,,,,,,
7141.42748.5542,1,1,1,54,29,10,63,26,11,193, $0.48 , $0.10 , $0.26 , $0.37 , $0.07 , $0.05 , $1.33 , $3.75 ,4,5,26,16,51,,,,,,,,,,,
7141.42748.5576,3,2,3,25,33,13,67,15,25,178, $1.34 , $0.15 , $0.47 , $0.84 , $0.17 , $0.08 , $3.05 , $5.00 ,8,6,32,30,76,,,,,,,,,,,
7141.42748.5611,3,1,3,43,31,8,10,15,48,155, $1.16 , $0.10 , $0.45 , $0.45 , $0.18 , $0.05 , $2.39 , $4.25 ,8,-2,30,29,65,,,,,,,,,,,
7141.42748.5632,4,2,2,94,36,35,52,18,27,262, $1.31 , $0.15 , $0.27 , $0.61 , $0.19 , $0.08 , $2.61 , $5.00 ,7,2,18,25,52,,,,,,,,,,,
7141.42748.5660,5,1,2,49,25,9,62,15,32,192, $0.96 , $0.10 , $0.09 , $0.61 , $0.07 , $0.05 , $1.88 , $4.75 ,8,4,25,35,72,,,,,,,,,,,
7141.42748.5736,5,2,2,35,49,10,52,12,12,170, $0.85 , $0.15 , $0.41 , $1.22 , $0.17 , $0.08 , $2.88 , $5.00 ,4,11,38,18,71,,,,,,,,,,,
7141.42748.5840,2,1,1,42,33,11,32,22,43,183, $0.46 , $0.10 , $0.23 , $0.40 , $0.16 , $0.05 , $1.40 , $3.75 ,9,20,25,22,76,,,,,,,,,,,
7141.42748.5896,4,2,1,69,24,29,46,24,32,224, $0.56 , $0.15 , $0.24 , $0.60 , $0.11 , $0.08 , $1.74 , $5.00 ,7,20,26,36,89,,,,,,,,,,,
7141.42748.5931,6,1,2,45,36,13,15,9,23,141, $0.71 , $0.10 , $0.20 , $0.72 , $0.10 , $0.05 , $1.88 , $4.75 ,5,24,9,27,65,,,,,,,,,,,
7141.42748.5938,6,1,2,25,34,10,58,12,34,173, $0.87 , $0.10 , $0.13 , $0.45 , $0.11 , $0.10 , $1.76 , $4.75 ,9,18,13,10,50,,,,,,,,,,,
7141.42748.6021,2,1,1,46,42,11,69,22,37,227, $0.57 , $0.10 , $0.20 , $0.30 , $0.08 , $0.05 , $1.30 , $3.75 ,8,7,7,30,52,,,,,,,,,,,
7141.42748.6181,7,1,3,31,14,18,67,12,40,182, $1.37 , $0.10 , $0.18 , $0.54 , $0.10 , $0.05 , $2.34 , $4.75 ,7,13,26,31,77,,,,,,,,,,,
7141.42748.6778,6,1,1,71,46,13,39,16,184,369, $0.92 , $0.10 , $0.53 , $1.17 , $0.09 , $0.05 , $2.86 , $4.75 ,4,-30,38,42,54,,,,,,,,,,,
7141.42748.6792,5,1,1,95,25,4,65,21,192,402, $1.01 , $0.10 , $0.30 , $1.02 , $0.07 , $0.05 , $2.55 , $4.75 ,6,-40,5,22,-7,,,,,,,,,,,
7141.42748.6819,2,2,2,115,38,18,51,19,131,372, $1.86 , $0.15 , $0.63 , $1.29 , $0.21 , $0.08 , $4.22 , $5.00 ,7,-25,37,18,37,,,,,,,,,,,
7141.42748.6868,7,2,2,73,25,28,31,14,110,281, $1.41 , $0.15 , $0.42 , $1.73 , $0.21 , $0.08 , $4.00 , $5.00 ,5,-5,44,32,76,,,,,,,,,,,
7141.42748.6875,1,1,2,72,36,8,72,12,131,331, $1.66 , $0.10 , $0.28 , $0.54 , $0.13 , $0.05 , $2.76 , $3.75 ,7,-17,18,20,28,,,,,,,,,,,
7141.42748.6924,6,2,3,56,21,24,46,10,112,269, $2.02 , $0.15 , $0.78 , $2.40 , $0.28 , $0.08 , $5.71 , $5.00 ,6,-24,43,25,50,,,,,,,,,,,
7141.42748.6931,1,1,2,76,37,5,34,14,110,276, $1.38 , $0.10 , $0.29 , $0.53 , $0.09 , $0.05 , $2.44 , $3.75 ,5,-13,19,12,23,,,,,,,,,,,
7141.42748.6986,6,1,1,88,32,19,37,25,155,356, $0.89 , $0.10 , $0.34 , $1.33 , $0.06 , $0.05 , $2.77 , $4.75 ,8,-21,28,31,46,,,,,,,,,,,
7141.42748.7042,3,2,2,116,58,12,63,16,123,388, $1.94 , $0.15 , $0.73 , $1.43 , $0.26 , $0.08 , $4.59 , $5.00 ,3,-28,42,23,40,,,,,,,,,,,
7141.42748.7104,7,2,3,58,19,28,42,20,127,294, $2.21 , $0.15 , $0.41 , $1.78 , $0.13 , $0.08 , $4.76 , $5.00 ,6,-12,20,39,53,,,,,,,,,,,
7141.42748.7139,3,1,3,49,16,9,43,13,128,258, $1.94 , $0.10 , $0.37 , $0.74 , $0.10 , $0.05 , $3.30 , $4.25 ,6,10,10,30,56,,,,,,,,,,,
7141.42748.7188,5,2,2,89,39,9,52,15,106,310, $1.55 , $0.30 , $0.55 , $2.21 , $0.16 , $0.08 , $4.85 , $5.00 ,8,-9,41,7,47,,,,,,,,,,,
7141.42748.7215,7,1,3,56,16,18,48,15,126,279, $2.09 , $0.10 , $0.19 , $0.94 , $0.15 , $0.05 , $3.52 , $4.75 ,7,-18,14,36,39,,,,,,,,,,,
7141.42748.7250,5,1,3,53,19,8,49,13,137,279, $2.09 , $0.10 , $0.28 , $1.03 , $0.08 , $0.05 , $3.63 , $4.75 ,5,-29,27,37,40,,,,,,,,,,,
7141.42748.7264,1,1,1,77,36,8,58,19,188,386, $0.97 , $0.10 , $0.30 , $0.69 , $0.17 , $0.05 , $2.28 , $3.75 ,8,-13,25,27,47,,,,,,,,,,,
7141.42748.7278,5,2,1,81,31,10,68,21,167,378, $0.95 , $0.15 , $0.65 , $2.13 , $0.14 , $0.08 , $4.10 , $5.00 ,9,-20,48,14,51,,,,,,,,,,,
7141.42748.7313,1,1,2,86,45,10,38,16,102,297, $1.49 , $0.10 , $0.27 , $0.61 , $0.05 , $0.05 , $2.57 , $3.75 ,2,-3,32,16,47,,,,,,,,,,,
7141.42748.7340,2,1,3,61,23,10,48,17,114,273, $2.05 , $0.10 , $0.28 , $0.59 , $0.23 , $0.05 , $3.30 , $3.75 ,6,-24,20,28,30,,,,,,,,,,,
7141.42748.7382,5,2,2,95,16,11,69,15,118,324, $1.62 , $0.15 , $0.60 , $2.12 , $0.16 , $0.08 , $4.73 , $5.00 ,6,-25,30,37,48,,,,,,,,,,,
7141.42748.7389,3,1,2,88,38,9,64,17,114,330, $1.65 , $0.10 , $0.28 , $0.74 , $0.12 , $0.05 , $2.94 , $4.25 ,8,-21,24,40,51,,,,,,,,,,,
7141.42748.7417,1,1,2,77,36,13,14,14,124,278, $1.39 , $0.20 , $0.39 , $0.58 , $0.12 , $0.05 , $2.73 , $3.75 ,8,-27,9,15,5,,,,,,,,,,,
7141.42748.7417,5,2,2,84,24,11,49,15,113,296, $1.48 , $0.15 , $0.56 , $2.20 , $0.22 , $0.08 , $4.69 , $5.00 ,7,-2,40,37,82,,,,,,,,,,,
7141.42748.7431,3,2,1,94,49,15,71,26,186,441, $1.10 , $0.15 , $0.63 , $1.55 , $0.20 , $0.08 , $3.71 , $5.00 ,5,-29,33,41,50,,,,,,,,,,,
7141.42748.7486,1,2,2,86,38,14,48,14,117,317, $1.59 , $0.15 , $0.54 , $1.22 , $0.18 , $0.08 , $3.76 , $5.00 ,8,0,21,37,66,,,,,,,,,,,
7141.42748.7500,1,2,1,85,29,16,50,21,187,388, $0.97 , $0.15 , $0.55 , $1.17 , $0.11 , $0.08 , $3.03 , $5.00 ,8,-25,7,23,13,,,,,,,,,,,
7141.42748.7514,4,2,2,168,41,30,36,14,125,414, $2.07 , $0.15 , $0.47 , $1.23 , $0.21 , $0.08 , $4.21 , $5.00 ,8,8,23,37,76,,,,,,,,,,,
7141.42748.7542,7,2,2,92,22,20,86,16,107,343, $1.72 , $0.15 , $0.40 , $1.59 , $0.16 , $0.08 , $4.10 , $5.00 ,5,-21,31,39,54,,,,,,,,,,,
7141.42748.7611,7,2,2,79,19,21,67,15,131,332, $1.66 , $0.15 , $0.46 , $1.96 , $0.21 , $0.08 , $4.52 , $5.00 ,4,-27,22,41,40,,,,,,,,,,,
7141.42748.7639,1,1,1,71,37,11,56,21,167,363, $0.91 , $0.10 , $0.23 , $0.74 , $0.22 , $0.05 , $2.25 , $3.75 ,9,-9,29,23,52,,,,,,,,,,,
7141.42748.7653,1,2,2,89,53,17,47,17,120,343, $1.72 , $0.15 , $0.65 , $1.14 , $0.20 , $0.08 , $3.94 , $5.00 ,8,-16,40,40,72,,,,,,,,,,,
7141.42748.7674,3,2,2,92,49,15,69,13,111,349, $1.75 , $0.15 , $0.73 , $1.50 , $0.28 , $0.08 , $4.49 , $5.00 ,9,-25,32,32,48,,,,,,,,,,,
7141.42748.7715,3,2,2,95,58,17,26,15,125,336, $1.68 , $0.15 , $0.63 , $1.44 , $0.21 , $0.08 , $4.19 , $5.00 ,8,-9,15,15,29,,,,,,,,,,,
7141.42748.7743,7,1,2,76,27,21,26,15,138,303, $1.52 , $0.10 , $0.24 , $1.02 , $0.11 , $0.05 , $3.04 , $4.75 ,5,-2,35,39,77,,,,,,,,,,,
7141.42748.7750,5,2,2,85,25,11,40,15,100,276, $1.38 , $0.15 , $0.58 , $2.02 , $0.13 , $0.08 , $4.34 , $5.00 ,3,-20,34,36,53,,,,,,,,,,,
7141.42748.7764,5,2,3,57,20,12,73,15,121,298, $2.24 , $0.15 , $0.61 , $2.12 , $0.18 , $0.08 , $5.38 , $5.00 ,8,-11,12,34,43,,,,,,,,,,,
7141.42748.7799,3,2,2,85,34,19,81,17,110,346, $1.73 , $0.15 , $0.75 , $1.48 , $0.21 , $0.16 , $4.48 , $5.00 ,5,-1,39,21,64,,,,,,,,,,,
7141.42748.7813,2,1,2,78,47,13,24,18,104,284, $1.42 , $0.20 , $0.22 , $0.61 , $0.01 , $0.05 , $2.51 , $3.75 ,7,-22,30,30,45,,,,,,,,,,,
7141.42748.7819,6,2,2,104,47,18,51,15,117,352, $1.76 , $0.15 , $0.87 , $2.42 , $0.16 , $0.08 , $5.44 , $5.00 ,2,-13,41,20,50,,,,,,,,,,,
7141.42748.7847,4,1,2,189,26,19,46,14,116,410, $2.05 , $0.10 , $0.26 , $0.67 , $0.12 , $0.05 , $3.25 , $3.75 ,8,-9,30,24,53,,,,,,,,,,,
7141.42748.7847,1,2,1,85,42,13,61,19,169,389, $0.97 , $0.15 , $0.57 , $1.20 , $0.14 , $0.08 , $3.11 , $5.00 ,8,-3,37,19,61,,,,,,,,,,,
7141.42748.7854,7,2,2,83,20,25,52,16,113,309, $1.55 , $0.15 , $0.42 , $1.85 , $0.12 , $0.08 , $4.17 , $5.00 ,4,-19,41,14,40,,,,,,,,,,,
7141.42748.7861,5,1,2,73,27,5,37,13,122,277, $1.39 , $0.10 , $0.27 , $1.06 , $0.14 , $0.05 , $3.01 , $4.75 ,7,-17,17,34,41,,,,,,,,,,,
7141.42748.7861,1,1,2,100,32,8,54,10,126,330, $1.65 , $0.10 , $0.31 , $0.52 , $0.09 , $0.05 , $2.72 , $3.75 ,4,1,16,10,31,,,,,,,,,,,
7141.42748.7882,6,2,1,83,38,21,27,15,193,377, $0.94 , $0.15 , $0.73 , $2.25 , $0.08 , $0.08 , $4.23 , $5.00 ,8,-41,34,15,16,,,,,,,,,,,
7141.42748.7896,3,2,2,100,50,17,38,12,126,343, $1.72 , $0.15 , $0.79 , $1.60 , $0.22 , $0.08 , $4.56 , $5.00 ,7,-27,33,35,48,,,,,,,,,,,
7141.42748.7903,6,2,2,78,34,24,37,14,134,321, $1.61 , $0.15 , $0.83 , $2.47 , $0.15 , $0.08 , $5.29 , $5.00 ,8,-21,29,12,28,,,,,,,,,,,
7141.42748.7931,7,2,2,93,30,33,62,14,111,343, $1.72 , $0.15 , $0.32 , $1.93 , $0.26 , $0.08 , $4.46 , $5.00 ,3,-15,36,20,44,,,,,,,,,,,
7141.42748.7958,6,1,2,81,39,10,13,13,128,284, $1.42 , $0.10 , $0.51 , $1.15 , $0.10 , $0.05 , $3.33 , $4.75 ,6,-27,19,13,11,,,,,,,,,,,
7141.42748.7993,6,2,3,62,22,20,31,15,120,270, $2.03 , $0.15 , $0.71 , $2.53 , $0.27 , $0.08 , $5.77 , $5.00 ,3,-12,41,14,46,,,,,,,,,,,
7141.42748.7993,5,1,3,55,19,8,31,11,128,252, $1.89 , $0.10 , $0.31 , $0.91 , $0.13 , $0.05 , $3.39 , $4.75 ,9,-14,34,39,68,,,,,,,,,,,
7141.42748.8014,3,1,3,53,24,11,51,16,101,256, $1.92 , $0.10 , $0.29 , $0.73 , $0.04 , $0.05 , $3.13 , $4.25 ,1,4,11,22,38,,,,,,,,,,,
7141.42748.8042,5,1,2,83,29,6,46,14,103,281, $1.41 , $0.10 , $0.29 , $1.00 , $0.13 , $0.05 , $2.98 , $4.75 ,8,-17,16,26,33,,,,,,,,,,,
