,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
8973.42805.8576,1,1,1,46,55,7,38,21,52,219, $0.55 , $0.10 , $0.11 , $0.28 , $0.07 , $0.05 , $1.16 , $3.75 ,7,7,15,38,67,,,,,,,,,,,
8973.42805.8576,5,2,2,35,69,12,51,12,27,206, $1.03 , $0.15 , $0.22 , $0.91 , $0.22 , $0.08 , $2.61 , $7.75 ,9,9,12,17,47,,,,,,,,,,,
8973.42805.8625,5,2,3,28,42,10,51,15,31,177, $1.33 , $0.15 , $0.38 , $1.07 , $0.22 , $0.08 , $3.23 , $7.75 ,6,6,29,29,70,,,,,,,,,,,
8973.42805.8785,5,1,1,40,19,6,68,19,69,221, $0.55 , $0.10 , $0.10 , $0.59 , $0.16 , $0.05 , $1.55 , $4.75 ,7,17,25,21,70,,,,,,,,,,,
8973.42805.8806,4,1,2,73,34,18,49,16,37,227, $1.14 , $0.10 , $0.11 , $0.30 , $0.09 , $0.05 , $1.79 , $3.75 ,7,9,22,39,77,,,,,,,,,,,
8973.42805.8875,7,1,1,24,23,19,22,23,54,165, $0.41 , $0.10 , $0.13 , $0.47 , $0.02 , $0.05 , $1.18 , $4.75 ,5,16,29,24,74,,,,,,,,,,,
8973.42806.4271,1,2,2,40,41,12,39,15,31,178, $0.89 , $0.15 , $0.20 , $0.57 , $0.21 , $0.08 , $2.10 , $5.50 ,5,20,11,27,63,,,,,,,,,,,
8973.42806.4583,3,2,1,26,96,18,30,17,113,300, $0.75 , $0.15 , $0.56 , $1.01 , $0.21 , $0.08 , $2.76 , $6.75 ,2,-26,7,34,17,,,,,,,,,,,
8973.42806.4604,5,2,2,45,69,12,48,14,71,259, $1.30 , $0.15 , $0.37 , $1.35 , $0.22 , $0.08 , $3.47 , $7.75 ,5,-2,20,23,46,,,,,,,,,,,
8973.42806.4708,1,2,1,50,97,16,101,24,90,378, $0.95 , $0.15 , $0.35 , $0.74 , $0.16 , $0.08 , $2.43 , $5.50 ,8,-12,11,8,15,,,,,,,,,,,
8973.42806.4854,7,2,1,54,53,23,43,24,141,338, $0.85 , $0.15 , $0.31 , $1.32 , $0.23 , $0.16 , $3.02 , $6.75 ,7,-4,24,35,62,,,,,,,,,,,
8973.42806.4861,6,1,1,52,67,13,22,18,120,292, $0.73 , $0.10 , $0.19 , $0.95 , $0.14 , $0.05 , $2.16 , $4.75 ,8,-18,33,39,62,,,,,,,,,,,
8973.42806.4903,4,1,3,64,38,16,24,13,71,226, $1.70 , $0.10 , $0.12 , $0.42 , $0.14 , $0.05 , $2.53 , $3.75 ,7,10,23,34,74,,,,,,,,,,,
8973.42806.4924,5,1,2,21,56,9,45,10,101,242, $1.21 , $0.10 , $0.12 , $0.63 , $0.02 , $0.05 , $2.13 , $4.75 ,7,-6,15,35,51,,,,,,,,,,,
8973.42806.4931,4,1,2,87,71,25,53,11,108,355, $1.78 , $0.10 , $0.22 , $0.34 , $0.07 , $0.05 , $2.56 , $3.75 ,4,-7,19,26,42,,,,,,,,,,,
8973.42806.4938,7,2,2,33,61,27,40,15,95,271, $1.36 , $0.15 , $0.28 , $1.17 , $0.20 , $0.08 , $3.24 , $6.75 ,9,-15,14,36,44,,,,,,,,,,,
8973.42806.4944,6,1,1,47,64,19,24,18,118,290, $0.73 , $0.10 , $0.30 , $0.79 , $0.12 , $0.05 , $2.09 , $4.75 ,8,-5,8,17,28,,,,,,,,,,,
8973.42806.4958,5,1,1,32,56,6,45,18,206,363, $0.91 , $0.10 , $0.26 , $0.70 , $0.11 , $0.05 , $2.13 , $4.75 ,8,-23,27,40,52,,,,,,,,,,,
8973.42806.5028,6,1,2,41,70,14,23,14,91,253, $1.27 , $0.10 , $0.10 , $0.67 , $0.19 , $0.05 , $2.38 , $4.75 ,5,-20,8,22,15,,,,,,,,,,,
8973.42806.5035,1,1,3,35,48,9,17,12,91,212, $1.59 , $0.10 , $0.25 , $0.43 , $0.09 , $0.05 , $2.51 , $3.75 ,6,-21,27,30,42,,,,,,,,,,,
8973.42806.5049,1,2,1,38,80,15,40,20,120,313, $0.78 , $0.15 , $0.45 , $0.73 , $0.18 , $0.08 , $2.37 , $5.50 ,6,-23,25,37,45,,,,,,,,,,,
8973.42806.5069,1,1,1,29,74,11,59,19,115,307, $0.77 , $0.10 , $0.13 , $0.36 , $0.03 , $0.05 , $1.44 , $3.75 ,7,4,21,34,66,,,,,,,,,,,
8973.42806.5104,3,1,2,31,89,10,45,13,66,254, $1.27 , $0.10 , $0.30 , $0.47 , $0.09 , $0.05 , $2.28 , $4.25 ,6,16,29,23,74,,,,,,,,,,,
8973.42806.5118,6,2,2,44,100,18,46,12,84,304, $1.52 , $0.15 , $0.39 , $1.54 , $0.15 , $0.08 , $3.83 , $7.75 ,7,-1,6,15,27,,,,,,,,,,,
8973.42806.5118,6,1,1,44,73,13,43,20,114,307, $0.77 , $0.10 , $0.20 , $0.68 , $0.06 , $0.05 , $1.86 , $4.75 ,3,-18,17,33,35,,,,,,,,,,,
8973.42806.5118,6,2,2,66,84,27,34,15,93,319, $1.60 , $0.15 , $0.51 , $1.52 , $0.26 , $0.08 , $4.12 , $7.75 ,7,-13,18,37,49,,,,,,,,,,,
8973.42806.5167,6,2,2,18,90,24,32,13,85,262, $1.31 , $0.15 , $0.52 , $1.59 , $0.20 , $0.08 , $3.85 , $7.75 ,7,-5,13,23,38,,,,,,,,,,,
8973.42806.5174,1,1,1,38,70,10,66,20,146,350, $0.88 , $0.10 , $0.18 , $0.39 , $0.04 , $0.05 , $1.64 , $3.75 ,6,-13,29,22,44,,,,,,,,,,,
8973.42806.5194,1,1,2,49,68,8,61,15,71,272, $1.36 , $0.10 , $0.30 , $0.38 , $0.08 , $0.05 , $2.27 , $3.75 ,7,5,17,27,56,,,,,,,,,,,
8973.42806.5194,6,1,1,4,79,16,35,21,184,339, $0.85 , $0.10 , $0.32 , $0.83 , $0.10 , $0.05 , $2.25 , $4.75 ,3,-40,13,10,-14,,,,,,,,,,,
8973.42806.5201,5,2,1,57,77,9,37,25,119,324, $0.81 , $0.15 , $0.37 , $1.54 , $0.05 , $0.08 , $3.00 , $7.75 ,7,-27,20,24,24,,,,,,,,,,,
8973.42806.5229,1,2,2,52,76,16,36,14,72,266, $1.33 , $0.15 , $0.39 , $0.77 , $0.24 , $0.08 , $2.96 , $5.50 ,7,-3,25,11,40,,,,,,,,,,,
8973.42806.5250,3,1,1,31,80,13,48,22,101,295, $0.74 , $0.10 , $0.35 , $0.49 , $0.12 , $0.05 , $1.85 , $4.25 ,8,9,20,39,76,,,,,,,,,,,
8973.42806.5264,3,1,3,34,63,10,60,14,97,278, $2.09 , $0.10 , $0.20 , $0.43 , $0.12 , $0.05 , $2.99 , $4.25 ,8,-17,15,33,39,,,,,,,,,,,
8973.42806.5375,7,1,2,49,46,14,49,11,102,271, $1.36 , $0.10 , $0.12 , $0.45 , $0.15 , $0.05 , $2.23 , $4.75 ,5,-6,27,25,51,,,,,,,,,,,
8973.42806.5444,1,1,2,28,73,10,66,13,75,265, $1.33 , $0.10 , $0.15 , $0.35 , $0.08 , $0.10 , $2.11 , $3.75 ,6,6,19,35,66,,,,,,,,,,,
8973.42806.5451,5,1,2,41,51,8,39,14,80,233, $1.17 , $0.10 , $0.19 , $0.68 , $0.14 , $0.05 , $2.33 , $4.75 ,8,-16,26,21,39,,,,,,,,,,,
8973.42806.5458,1,2,2,47,69,17,38,18,81,270, $1.35 , $0.15 , $0.52 , $0.76 , $0.15 , $0.08 , $3.01 , $5.50 ,8,-9,27,21,47,,,,,,,,,,,
8973.42806.5472,4,1,1,66,68,20,11,20,152,337, $0.84 , $0.10 , $0.16 , $0.53 , $0.12 , $0.05 , $1.80 , $3.75 ,7,-24,11,30,24,,,,,,,,,,,
8973.42806.5479,5,2,1,46,57,11,62,23,156,355, $0.89 , $0.30 , $0.33 , $1.50 , $0.16 , $0.08 , $3.26 , $7.75 ,8,-20,32,19,39,,,,,,,,,,,
8973.42806.5521,3,1,1,46,76,14,43,20,153,352, $0.88 , $0.10 , $0.30 , $0.55 , $0.14 , $0.05 , $2.02 , $4.25 ,8,14,29,19,70,,,,,,,,,,,
8973.42806.5528,1,2,1,45,81,16,80,20,142,384, $0.96 , $0.15 , $0.30 , $0.70 , $0.20 , $0.08 , $2.39 , $5.50 ,6,-3,24,40,67,,,,,,,,,,,
8973.42806.5576,6,1,3,19,50,16,35,15,80,215, $1.61 , $0.10 , $0.20 , $0.69 , $0.10 , $0.05 , $2.75 , $4.75 ,3,-8,28,29,52,,,,,,,,,,,
8973.42806.5583,7,1,2,41,50,15,47,14,101,268, $1.34 , $0.10 , $0.17 , $0.49 , $0.13 , $0.05 , $2.28 , $4.75 ,8,3,18,26,55,,,,,,,,,,,
8973.42806.5597,1,1,2,45,70,8,21,10,97,251, $1.26 , $0.10 , $0.17 , $0.40 , $0.20 , $0.05 , $2.18 , $3.75 ,10,-21,14,33,36,,,,,,,,,,,
8973.42806.5611,5,1,3,23,34,5,60,13,81,216, $1.62 , $0.10 , $0.13 , $0.70 , $0.08 , $0.05 , $2.68 , $4.75 ,3,4,17,30,54,,,,,,,,,,,
8973.42806.5667,1,1,2,41,55,11,58,13,90,268, $1.34 , $0.10 , $0.19 , $0.32 , $0.16 , $0.05 , $2.16 , $3.75 ,5,-17,24,35,47,,,,,,,,,,,
8973.42806.5694,5,1,1,54,57,6,42,17,109,285, $0.71 , $0.10 , $0.26 , $0.62 , $0.17 , $0.05 , $1.91 , $4.75 ,5,2,29,14,50,,,,,,,,,,,
8973.42806.5722,5,1,1,57,37,8,30,18,140,290, $0.73 , $0.10 , $0.22 , $0.51 , $0.06 , $0.05 , $1.67 , $4.75 ,6,-15,24,38,53,,,,,,,,,,,
8973.42806.5729,3,2,1,42,85,14,36,25,141,343, $0.86 , $0.15 , $0.45 , $0.96 , $0.19 , $0.08 , $2.69 , $6.75 ,6,-17,19,10,18,,,,,,,,,,,
8973.42806.5736,7,1,2,57,44,23,48,16,128,316, $1.58 , $0.10 , $0.17 , $0.46 , $0.09 , $0.05 , $2.45 , $4.75 ,6,-23,23,41,47,,,,,,,,,,,
8973.42806.5785,2,1,2,29,69,12,47,12,91,260, $1.30 , $0.10 , $0.20 , $0.31 , $0.13 , $0.05 , $2.09 , $3.75 ,8,1,17,15,41,,,,,,,,,,,
8973.42806.5785,6,1,1,56,71,16,43,18,153,357, $0.89 , $0.10 , $0.17 , $0.77 , $0.18 , $0.05 , $2.16 , $4.75 ,8,-6,31,41,74,,,,,,,,,,,
8973.42806.5792,3,2,2,59,78,15,65,16,85,318, $1.59 , $0.15 , $0.57 , $1.01 , $0.18 , $0.08 , $3.58 , $6.75 ,1,4,16,32,53,,,,,,,,,,,
8973.42806.5819,1,1,1,46,77,6,38,22,119,308, $0.77 , $0.10 , $0.16 , $0.31 , $0.08 , $0.05 , $1.47 , $3.75 ,6,-21,7,13,5,,,,,,,,,,,
8973.42806.5875,5,1,1,38,25,6,70,20,35,194, $0.49 , $0.10 , $0.12 , $0.53 , $0.11 , $0.05 , $1.40 , $4.75 ,6,7,22,28,63,,,,,,,,,,,
8973.42806.5875,6,2,1,58,26,24,50,22,59,239, $0.60 , $0.15 , $0.50 , $1.23 , $0.27 , $0.08 , $2.83 , $7.75 ,3,16,30,35,84,,,,,,,,,,,
8973.42806.5903,5,1,1,33,28,5,69,22,50,207, $0.52 , $0.10 , $0.18 , $0.63 , $0.16 , $0.05 , $1.64 , $4.75 ,4,19,25,20,68,,,,,,,,,,,
8973.42806.5931,4,1,1,63,38,21,73,23,38,256, $0.64 , $0.10 , $0.11 , $0.27 , $0.11 , $0.05 , $1.28 , $3.75 ,10,15,6,30,61,,,,,,,,,,,
8973.42806.5931,5,1,2,47,31,6,70,13,31,198, $0.99 , $0.10 , $0.21 , $0.55 , $0.05 , $0.05 , $1.95 , $4.75 ,8,19,18,35,80,,,,,,,,,,,
8973.42806.5938,6,1,1,31,32,21,40,23,49,196, $0.49 , $0.10 , $0.24 , $0.67 , $(0.03), $0.05 , $1.52 , $4.75 ,8,17,11,30,66,,,,,,,,,,,
8973.42806.5944,6,2,1,35,33,18,37,19,65,207, $0.52 , $0.15 , $0.42 , $1.33 , $0.18 , $0.08 , $2.68 , $7.75 ,3,9,28,31,71,,,,,,,,,,,
8973.42806.5965,5,1,2,20,41,7,46,14,35,163, $0.82 , $0.10 , $0.11 , $0.43 , $0.11 , $0.05 , $1.62 , $4.75 ,1,7,23,29,60,,,,,,,,,,,
8973.42806.5993,2,1,2,38,33,10,81,11,37,210, $1.05 , $0.10 , $0.14 , $0.30 , $0.13 , $0.05 , $1.77 , $3.75 ,5,18,21,25,69,,,,,,,,,,,
8973.42806.6014,3,1,2,38,37,9,55,12,26,177, $0.89 , $0.10 , $0.24 , $0.35 , $0.04 , $0.05 , $1.67 , $4.25 ,2,15,25,38,80,,,,,,,,,,,
8973.42806.6035,5,1,2,49,27,7,38,11,46,178, $0.89 , $0.10 , $0.13 , $0.52 , $0.18 , $0.10 , $1.92 , $4.75 ,7,11,18,4,40,,,,,,,,,,,
8973.42806.6049,7,2,1,31,30,22,64,21,54,222, $0.56 , $0.15 , $0.19 , $0.96 , $0.13 , $0.08 , $2.07 , $6.75 ,4,14,29,35,82,,,,,,,,,,,
8973.42806.6056,6,1,2,59,40,17,29,13,37,195, $0.98 , $0.10 , $0.27 , $0.62 , $0.18 , $0.05 , $2.20 , $4.75 ,8,17,18,30,73,,,,,,,,,,,
8973.42806.6125,4,1,1,113,33,26,44,22,41,279, $0.70 , $0.10 , $0.10 , $0.25 , $0.04 , $0.05 , $1.24 , $3.75 ,6,17,24,25,72,,,,,,,,,,,
8973.42806.6132,6,1,1,45,36,16,34,17,38,186, $0.47 , $0.10 , $0.19 , $0.74 , $(0.01), $0.05 , $1.54 , $4.75 ,6,12,30,21,69,,,,,,,,,,,
8973.42806.6139,1,1,1,38,33,10,55,23,28,187, $0.47 , $0.10 , $0.14 , $0.30 , $0.14 , $0.05 , $1.20 , $3.75 ,8,24,25,15,72,,,,,,,,,,,
8973.42806.6215,5,1,1,37,27,5,57,18,55,199, $0.50 , $0.10 , $0.08 , $0.39 , $0.16 , $0.05 , $1.28 , $4.75 ,9,8,9,24,50,,,,,,,,,,,
8973.42806.6243,7,1,2,25,26,19,53,13,33,169, $0.85 , $0.10 , $0.14 , $0.48 , $0.16 , $0.05 , $1.78 , $4.75 ,5,24,8,11,48,,,,,,,,,,,
8973.42806.6292,5,1,1,54,34,5,42,15,41,191, $0.48 , $0.10 , $0.14 , $0.43 , $0.08 , $0.05 , $1.28 , $4.75 ,5,14,22,35,76,,,,,,,,,,,
8973.42806.6306,1,1,1,38,31,11,71,19,44,214, $0.54 , $0.10 , $0.20 , $0.32 , $0.03 , $0.05 , $1.24 , $3.75 ,7,3,15,33,58,,,,,,,,,,,
8973.42806.6333,3,2,2,53,42,14,42,13,26,190, $0.95 , $0.15 , $0.30 , $0.67 , $0.25 , $0.08 , $2.40 , $6.75 ,5,14,27,28,74,,,,,,,,,,,
8973.42806.6486,6,1,1,32,33,14,48,19,50,196, $0.49 , $0.10 , $0.09 , $0.38 , $0.04 , $0.05 , $1.15 , $4.75 ,6,16,24,30,76,,,,,,,,,,,
8973.42806.6507,1,1,2,38,37,9,80,11,27,202, $1.01 , $0.10 , $0.10 , $0.23 , $0.06 , $0.05 , $1.55 , $3.75 ,9,23,7,29,68,,,,,,,,,,,
8973.42806.6563,2,1,2,46,42,11,53,13,25,190, $0.95 , $0.10 , $0.16 , $0.36 , $0.01 , $0.05 , $1.63 , $3.75 ,8,16,11,26,61,,,,,,,,,,,
8973.42806.6604,6,1,2,35,43,15,38,15,19,165, $0.83 , $0.10 , $0.17 , $0.54 , $0.08 , $0.05 , $1.77 , $4.75 ,7,14,14,13,48,,,,,,,,,,,
8973.42806.6618,5,1,1,44,18,8,62,18,40,190, $0.48 , $0.10 , $0.17 , $0.61 , $0.16 , $0.05 , $1.57 , $4.75 ,7,19,18,37,81,,,,,,,,,,,
8973.42806.6646,2,1,2,30,39,10,59,12,30,180, $0.90 , $0.10 , $0.14 , $0.39 , $0.10 , $0.05 , $1.68 , $3.75 ,8,8,24,26,66,,,,,,,,,,,
8973.42806.6646,3,1,2,38,55,11,50,12,32,198, $0.99 , $0.10 , $0.17 , $0.22 , $0.08 , $0.05 , $1.61 , $4.25 ,5,17,8,18,48,,,,,,,,,,,
8973.42806.6653,3,1,1,46,43,11,34,20,43,197, $0.49 , $0.10 , $0.16 , $0.36 , $0.12 , $0.05 , $1.28 , $4.25 ,5,21,22,31,79,,,,,,,,,,,
8973.42806.6674,5,1,2,48,45,4,25,15,28,165, $0.83 , $0.10 , $0.18 , $0.59 , $0.07 , $0.05 , $1.82 , $4.75 ,7,14,10,3,34,,,,,,,,,,,
8973.42806.6681,5,1,2,37,62,9,49,13,18,188, $0.94 , $0.10 , $0.09 , $0.52 , $0.16 , $0.05 , $1.86 , $4.75 ,8,16,9,34,67,,,,,,,,,,,
8973.42806.6701,1,1,3,24,46,13,59,11,31,184, $1.38 , $0.10 , $0.17 , $0.26 , $(0.01), $0.05 , $1.95 , $3.75 ,6,8,15,37,66,,,,,,,,,,,
8973.42806.6722,5,2,2,43,70,10,47,12,30,212, $1.06 , $0.15 , $0.27 , $0.92 , $0.15 , $0.08 , $2.63 , $7.75 ,4,7,26,37,74,,,,,,,,,,,
8973.42806.6722,5,1,2,42,56,7,61,16,28,210, $1.05 , $0.10 , $0.22 , $0.67 , $0.17 , $0.05 , $2.26 , $4.75 ,5,15,3,18,41,,,,,,,,,,,
8973.42806.6743,6,2,1,49,95,18,23,21,46,252, $0.63 , $0.15 , $0.31 , $1.08 , $0.28 , $0.08 , $2.53 , $7.75 ,5,3,28,33,69,,,,,,,,,,,
8973.42806.6743,6,1,3,23,41,13,43,17,29,166, $1.25 , $0.10 , $0.20 , $0.54 , $0.15 , $0.05 , $2.29 , $4.75 ,3,14,18,36,71,,,,,,,,,,,
8973.42806.6785,1,2,1,47,78,12,53,23,56,269, $0.67 , $0.15 , $0.30 , $0.57 , $0.19 , $0.08 , $1.96 , $5.50 ,7,-6,24,34,59,,,,,,,,,,,
8973.42806.6799,5,2,2,54,60,10,57,19,34,234, $1.17 , $0.15 , $0.27 , $0.96 , $0.21 , $0.08 , $2.84 , $7.75 ,8,16,21,26,71,,,,,,,,,,,
8973.42806.6861,1,2,1,32,82,12,67,22,41,256, $0.64 , $0.15 , $0.22 , $0.57 , $0.25 , $0.08 , $1.91 , $5.50 ,2,9,20,22,53,,,,,,,,,,,
8973.42806.6875,2,2,3,32,51,17,77,12,38,227, $1.70 , $0.15 , $0.23 , $0.60 , $0.22 , $0.08 , $2.98 , $5.50 ,3,14,25,15,57,,,,,,,,,,,
8973.42806.7007,1,1,2,33,80,9,48,16,30,216, $1.08 , $0.10 , $0.23 , $0.32 , $0.11 , $0.10 , $1.94 , $3.75 ,7,12,27,37,83,,,,,,,,,,,
8973.42806.7014,5,1,1,26,54,9,25,15,29,158, $0.40 , $0.10 , $0.07 , $0.54 , $0.18 , $0.05 , $1.34 , $4.75 ,6,18,27,17,68,,,,,,,,,,,
8973.42806.7035,3,1,1,47,78,9,52,21,43,250, $0.63 , $0.10 , $0.16 , $0.34 , $0.11 , $0.05 , $1.39 , $4.25 ,6,-2,13,33,50,,,,,,,,,,,
8973.42806.7083,2,1,2,43,63,9,33,13,34,195, $0.98 , $0.10 , $0.15 , $0.25 , $0.09 , $0.05 , $1.62 , $3.75 ,3,19,17,18,57,,,,,,,,,,,
8973.42806.7083,4,1,1,99,82,12,38,18,51,300, $0.75 , $0.10 , $0.09 , $0.25 , $0.08 , $0.05 , $1.32 , $3.75 ,4,4,8,22,38,,,,,,,,,,,
8973.42806.7097,1,1,3,19,52,11,62,13,27,184, $1.38 , $0.10 , $0.20 , $0.23 , $0.06 , $0.05 , $2.02 , $3.75 ,6,10,25,38,79,,,,,,,,,,,
8973.42806.7118,1,1,2,44,77,11,49,14,33,228, $1.14 , $0.10 , $0.25 , $0.28 , $0.13 , $0.05 , $1.95 , $3.75 ,6,4,19,31,60,,,,,,,,,,,
8973.42806.7139,2,1,1,42,66,7,59,15,40,229, $0.57 , $0.10 , $0.12 , $0.23 , $0.21 , $0.05 , $1.28 , $3.75 ,3,3,8,33,47,,,,,,,,,,,
8973.42806.7160,6,1,2,46,71,16,30,9,34,206, $1.03 , $0.10 , $0.14 , $0.75 , $0.08 , $0.05 , $2.15 , $4.75 ,8,10,21,16,55,,,,,,,,,,,
8973.42806.7243,6,2,2,37,76,25,58,16,31,243, $1.22 , $0.15 , $0.41 , $1.29 , $0.20 , $0.08 , $3.35 , $7.75 ,8,11,14,34,67,,,,,,,,,,,
8973.42806.7250,3,2,1,47,103,12,66,18,50,296, $0.74 , $0.15 , $0.45 , $0.72 , $0.23 , $0.08 , $2.37 , $6.75 ,1,-5,15,28,39,,,,,,,,,,,
8973.42806.7264,4,1,2,76,65,17,59,10,25,252, $1.26 , $0.10 , $0.11 , $0.21 , $0.09 , $0.05 , $1.82 , $3.75 ,7,4,23,32,66,,,,,,,,,,,
8973.42806.7271,4,2,2,100,78,37,77,15,21,328, $1.64 , $0.15 , $0.20 , $0.55 , $0.16 , $0.08 , $2.78 , $5.50 ,2,15,19,33,69,,,,,,,,,,,
8973.42806.7306,5,1,3,31,38,12,59,12,32,184, $1.38 , $0.10 , $0.11 , $0.63 , $0.05 , $0.05 , $2.32 , $4.75 ,7,16,16,15,54,,,,,,,,,,,
8973.42806.7313,1,1,2,47,75,10,41,11,22,206, $1.03 , $0.10 , $0.18 , $0.24 , $0.14 , $0.05 , $1.74 , $3.75 ,8,15,18,35,76,,,,,,,,,,,
8973.42806.7347,5,1,3,35,43,6,37,10,21,152, $1.14 , $0.10 , $0.13 , $0.45 , $0.14 , $0.05 , $2.01 , $4.75 ,9,13,14,6,42,,,,,,,,,,,
8973.42806.7354,5,1,2,36,55,6,40,14,27,178, $0.89 , $0.10 , $0.13 , $0.57 , $0.20 , $0.05 , $1.94 , $4.75 ,8,9,27,10,54,,,,,,,,,,,
8973.42806.7368,3,1,1,57,94,6,76,20,50,303, $0.76 , $0.10 , $0.16 , $0.25 , $0.08 , $0.05 , $1.40 , $4.25 ,8,9,8,14,39,,,,,,,,,,,
8973.42806.7375,6,1,1,46,70,15,44,24,61,260, $0.65 , $0.10 , $0.11 , $0.63 , $0.08 , $0.05 , $1.62 , $4.75 ,7,0,29,25,61,,,,,,,,,,,
8973.42806.7403,5,1,1,39,55,5,52,25,54,230, $0.58 , $0.10 , $0.21 , $0.60 , $0.09 , $0.05 , $1.63 , $4.75 ,8,6,8,40,62,,,,,,,,,,,
8973.42806.7410,4,2,1,127,75,34,36,20,36,328, $0.82 , $0.15 , $0.38 , $0.67 , $0.16 , $0.08 , $2.26 , $5.50 ,4,4,15,35,58,,,,,,,,,,,
8973.42806.7458,3,2,2,58,92,14,66,15,25,270, $1.35 , $0.15 , $0.40 , $0.81 , $0.14 , $0.08 , $2.93 , $6.75 ,7,9,28,18,62,,,,,,,,,,,
8973.42806.7479,5,1,2,44,63,7,60,12,30,216, $1.08 , $0.10 , $0.25 , $0.54 , $0.14 , $0.05 , $2.16 , $4.75 ,6,9,26,39,80,,,,,,,,,,,
8973.42806.7486,1,1,3,24,47,9,67,14,22,183, $1.37 , $0.10 , $0.21 , $0.28 , $0.12 , $0.05 , $2.13 , $3.75 ,9,11,22,37,79,,,,,,,,,,,
8973.42806.7500,6,2,3,34,55,22,35,18,23,187, $1.40 , $0.15 , $0.43 , $1.43 , $0.17 , $0.08 , $3.66 , $7.75 ,6,7,26,38,77,,,,,,,,,,,
8973.42806.7521,4,1,3,67,55,15,67,13,36,253, $1.90 , $0.10 , $0.20 , $0.19 , $0.08 , $0.05 , $2.52 , $3.75 ,8,0,21,20,49,,,,,,,,,,,
8973.42806.7549,6,1,2,37,66,18,26,14,32,193, $0.97 , $0.10 , $0.26 , $0.73 , $0.09 , $0.05 , $2.20 , $4.75 ,9,18,21,8,56,,,,,,,,,,,
8973.42806.7556,1,2,2,58,92,15,94,13,33,305, $1.53 , $0.15 , $0.37 , $0.58 , $0.22 , $0.08 , $2.93 , $5.50 ,6,5,27,24,62,,,,,,,,,,,
8973.42806.7597,7,2,1,40,59,29,60,19,58,265, $0.66 , $0.15 , $0.28 , $0.91 , $0.20 , $0.08 , $2.28 , $6.75 ,6,-8,28,35,61,,,,,,,,,,,
8973.42806.7597,5,1,3,33,32,6,43,14,34,162, $1.22 , $0.20 , $0.12 , $0.59 , $0.09 , $0.05 , $2.27 , $4.75 ,8,17,19,31,75,,,,,,,,,,,
8973.42806.7618,3,1,2,38,74,9,54,12,46,233, $1.17 , $0.10 , $0.19 , $0.38 , $0.17 , $0.05 , $2.06 , $4.25 ,5,-3,14,27,43,,,,,,,,,,,
8973.42806.7618,3,2,1,52,98,14,56,31,40,291, $0.73 , $0.15 , $0.34 , $0.83 , $0.23 , $0.08 , $2.36 , $6.75 ,4,12,25,20,61,,,,,,,,,,,
8973.42806.7708,3,1,1,46,85,11,55,23,45,265, $0.66 , $0.10 , $0.14 , $0.24 , $0.06 , $0.05 , $1.25 , $4.25 ,6,5,15,37,63,,,,,,,,,,,
8973.42806.7708,2,1,1,42,65,14,48,17,42,228, $0.57 , $0.10 , $0.09 , $0.32 , $0.17 , $0.05 , $1.30 , $3.75 ,5,1,13,30,49,,,,,,,,,,,
8973.42806.7708,5,1,2,26,57,7,48,15,23,176, $0.88 , $0.10 , $0.16 , $0.43 , $-   , $0.05 , $1.62 , $4.75 ,7,15,26,29,77,,,,,,,,,,,
8973.42806.7708,1,2,2,37,83,13,35,11,24,203, $1.02 , $0.15 , $0.19 , $0.73 , $0.19 , $0.08 , $2.36 , $5.50 ,5,18,29,29,81,,,,,,,,,,,
8973.42806.7715,1,1,2,50,85,14,51,16,33,249, $1.25 , $0.10 , $0.12 , $0.20 , $0.20 , $0.05 , $1.92 , $3.75 ,5,17,15,39,76,,,,,,,,,,,
8973.42806.7722,1,2,1,37,72,15,52,20,36,232, $0.58 , $0.15 , $0.19 , $0.53 , $0.18 , $0.08 , $1.71 , $5.50 ,7,8,24,35,74,,,,,,,,,,,
8973.42806.7729,1,1,1,42,64,10,51,19,40,226, $0.57 , $0.10 , $0.24 , $0.29 , $0.08 , $0.10 , $1.38 , $3.75 ,5,4,19,22,50,,,,,,,,,,,
8973.42806.7750,5,1,3,25,40,10,48,12,31,166, $1.25 , $0.10 , $0.13 , $0.55 , $0.05 , $0.05 , $2.13 , $4.75 ,7,10,7,29,53,,,,,,,,,,,
8973.42806.7764,3,1,1,62,73,12,20,27,46,240, $0.60 , $0.10 , $0.26 , $0.31 , $0.16 , $0.05 , $1.48 , $4.25 ,9,2,24,22,57,,,,,,,,,,,
8973.42806.7764,3,1,2,62,78,10,47,11,16,224, $1.12 , $0.10 , $0.30 , $0.40 , $0.04 , $0.05 , $2.01 , $4.25 ,6,13,24,35,78,,,,,,,,,,,
8973.42806.7778,5,1,2,39,59,6,65,11,25,205, $1.03 , $0.10 , $0.18 , $0.49 , $0.18 , $0.05 , $2.03 , $4.75 ,5,17,25,37,84,,,,,,,,,,,
8973.42806.7792,1,2,1,42,83,15,40,23,51,254, $0.64 , $0.15 , $0.24 , $0.58 , $0.14 , $0.08 , $1.83 , $5.50 ,5,3,18,20,46,,,,,,,,,,,
8973.42806.7806,2,1,2,35,65,11,66,15,43,235, $1.18 , $0.10 , $0.18 , $0.28 , $0.16 , $0.05 , $1.95 , $3.75 ,9,7,28,38,82,,,,,,,,,,,
